ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,LGR_Conformance,Comment,Source,Source_comment
stan1295-1,stan1295,"Ich habe etwas <*irgend etwas> verloren. Rate mal, was!","Ich	habe	etwas	<*irgend	etwas>	verloren.	Rate	mal,	was!",I	have	something	<any	thing>	lost	guess	pcl	what,I lost something. Guess what!,,,,,personal knowledge
stan1295-2,stan1295,"Ich habe etwas / irgend etwas verloren, aber ich weiss nicht, was.","Ich	habe	etwas	/	irgend	etwas	verloren,	aber	ich	weiss	nicht,	was.",I	have	something	/	indef	something	lost	but	I	know	not	what,"I lost something, but I don't know what.",,,,,personal knowledge
stan1295-3,stan1295,Sie möchte jemanden / irgend jemanden mit schwarzen Haaren heiraten.,Sie	möchte	jemanden	/	irgend	jemanden	mit	schwarzen	Haaren	heiraten.,she	wants	someone	/	indef	someone	with	black	hairs	marry,She wants to marry someone [non-specific/specific] with black hair.,,,,,personal knowledge
stan1295-4,stan1295,Hast du (irgend) etwas gehört?,Hast	du	(irgend)	etwas	gehört?,have	you	indef	something	heard,Did you hear anything?,,,,,personal knowledge
stan1295-5,stan1295,Ist sie irgend-wann / je in Chittagong gewesen?,Ist	sie	irgend-wann	/	je	in	Chittagong	gewesen?,is	she	indef-when	/	ever	in	Chittagong	been,Has she ever been to Chittagong?,,,,,personal knowledge
stan1295-6,stan1295,"Wenn (irgend) jemand anruft, sag mir Bescheid!","Wenn	(irgend)	jemand	anruft,	sag	mir	Bescheid!",if	indef	someone	calls	tell	me	information,"If anyone calls, tell me!",,,,,personal knowledge
stan1295-7,stan1295,"Ich glaube nicht, dass hier je / irgend-wann (irgend) jemand war.","Ich	glaube	nicht,	dass	hier	je	/	irgend-wann	(irgend)	jemand	war.",I	think	not	that	here	ever	/	indef-when	indef	someone	was,I don't think that anyone has ever been here.,,,,,personal knowledge
stan1295-8,stan1295,Joan Baez sang besser als irgend jemand je zuvor.,Joan	Baez	sang	besser	als	irgend	jemand	je	zuvor.,Joan	Baez	sang	better	than	any	one	ever	before,Joan Baez sang better than anyone ever before.,,,,,personal knowledge
stan1295-9,stan1295,Dieses Problem kann irgend jemand lösen.,Dieses	Problem	kann	irgend	jemand	lösen.,this	problem	can	any	one	solve,This problem can be solved by anyone.,,,,,personal knowledge
stan1295-10,stan1295,Dieses Problem kann jeder lösen.,Dieses	Problem	kann	jeder	lösen.,this	problem	can	everyone	solve,This problem can be solved by anyone.,,,,,personal knowledge
